pwsid,Name,population,service_connections,state_classification,activity_status_cd,regulating_agency,carceral_sys,count_of_viols_over5yrs_mcl,count_of_viols_over5yrs_mon,binary_viol_over5yrs_mcl,binary_viol_over5yrs_mon
CA0105020,ALAMEDA COUNTY FAIRGROUNDS,82,33,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0110001,ALAMEDA COUNTY WATER DISTRICT,344000,86959,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,nonexclusive_carceral,0,0,0,0
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,60414,18595,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0110005,EAST BAY MUD,1442800,392875,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,nonexclusive_carceral,0,0,0,0
CA0110006,CITY OF HAYWARD,162954,36838,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,nonexclusive_carceral,0,0,0,0
CA0110008,CITY OF PLEASANTON,76689,22334,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,98776,25458,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,nonexclusive_carceral,0,0,0,0
CA0110011,CITY OF LIVERMORE,38892,9958,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0110012,TOWN OF SUNOL - SFPUC,281,102,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0110016,ALAMEDA POINT,1400,378,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0202501,DIAMOND VALLEY SCHOOL,100,5,NON-TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202502,WOODFORDS STATION,50,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202503,WOODFORDS MUTUAL WATER COMPANY,50,16,COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202504,MARKLEEVILLE WATER CO.,175,167,COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202505,PACIFIC VALLEY CAMPGROUND,50,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202506,CAPLES LAKE RESORT,25,11,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202509,LAKE ALPINE IMPROVEMENT ASSOCIATION,25,26,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202512,SORENSON S RESORT,60,28,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202513,SHAY CREEK HOA,32,32,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202515,CARSON RIVER RESORT,33,26,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202516,SORENSON S HOA,30,22,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202517,LAKE ALPINE REC. AREA,50,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202519,TURTLE ROCK COUNTY PARK,25,15,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202520,HOPE VALLEY RESORT,25,25,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202522,SIERRA PINES MOBILE HOME PARK,70,32,COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202523,BLOOMFIELD CG #1,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202524,HIGHLAND LKS #1,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202525,HIGHLAND LAKES #2,26,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202529,HOPE VALLEY CG,3560,5,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202532,CRYSTAL SPRINGS CG,1118,7,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202542,WOODS LAKE REC. AREA,25,6,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202547,CAMP LIAHONA,53,8,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202548,CAMP PEACEFUL PINES,25,13,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202549,BEAR VALLEY MOUNTAIN RESORT,3500,4,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202550,ALPINE COUNTY HEALTH AND HUMAN SERVICES,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202552,PG&E MIDDLE BLUE LAKES C.G.,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202554,PG&E LOWER BLUE LAKES C.G.,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202556,PG&E UPPER BLUE LAKES C.G.,25,5,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202557,PG&E UPPER BLUE DAM SITE EXPANSION CG,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202562,SAND FLAT # 1,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202564,SAND FLAT # 3,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202565,SAND FLAT # 4,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202566,SAND FLAT # 5,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202599,ALPINE EARLY LEARNING CENTER,35,1,NON-TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0210001,LAKE ALPINE WATER COMPANY,625,493,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,1,0,1,0
CA0210002,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,7851,867,COMMUNITY,A ,DISTRICT 09 - SACRAMENTO,non_carceral,0,1,0,1
CA0300007,STOCKTON SILVER LAKE FAMILY CAMP,100,18,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,1,1,1,1
CA0300010,DRYTOWN COUNTY WATER DISTRICT,221,67,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300011,SUTTER PINES MHP,40,20,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300016,VOLCANO COMMUNITY SERVICE DIST,103,73,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,1,0,1
CA0300019,FIDDLETOWN COMMUNITY SERVICE,100,66,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,1,0,1,0
CA0300024,FOREST POINT MHC,62,22,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300028,AMADOR HARVEST INN,87,5,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300032,SILVER LAKE CAMPGROUND,500,23,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,2,0,1
CA0300033,BEAR RIVER CAMP--SOUTH SHORE,200,12,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,1,0,1
CA0300034,BEAR RIVER GROUP CAMPGROUND,125,23,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,2,0,1
CA0300036,BEAR RIVER LAKE RESORT,571,143,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,3553,566,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,1,0,1
CA0300043,OK CORRAL,25,8,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,4,0,1
CA0300048,GIBSON'S ROADHOUSE CAFE,27,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,2,0,1
CA0300049,PLASSE HOMESTEAD WATER ASSOCIATION,28,28,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,1,0,1,0
CA0300051,KIT CARSON LODGE,100,27,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,2,0,1
CA0300052,COOK'S STATION,38,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300053,RANCHO DEL ORO MHP,44,28,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,299,21,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300070,E. SILVER LAKE HOMEOWNERS,54,54,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,1,0,1
CA0300077,L'AZIENDA D'AGOSTINI,42,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,4,0,1
CA0300078,IONE BAND OF MIWOK INDIANS,40,12,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,1,0,1
CA0300081,VILLA TOSCANO WINERY,100,3,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300085,ROARING CAMP,25,6,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,1,0,1
CA0300086,GRACE FELLOWSHIP CHURCH,125,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300087,TURLEY WINE CELLARS,50,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300088,BLACK CHASM CAVERN,115,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,1,3,1,1
CA0300089,JEFF RUNQUIST WINERY,95,5,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300090,BORJON WINERY,26,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300448,MALLO GOLD MINE PLAZA,25,9,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,3,0,1
CA0300524,"MP ASSOCIATES, INC.",150,2,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300667,GOLDEN VALLEY CAMP,45,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0301038,PARDEE RECREATION AREA,251,80,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310001,CITY OF JACKSON,5019,2211,COMMUNITY,A ,DISTRICT 10 - STOCKTON,nonexclusive_carceral,1,0,1,0
CA0310002,"AWA, IONE",7227,2386,COMMUNITY,A ,DISTRICT 10 - STOCKTON,nonexclusive_carceral,1,0,1,0
CA0310003,"AWA, TANNER",4940,1758,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310004,"PLYMOUTH, CITY OF",1060,535,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,1,0,1,0
CA0310005,PINE GROVE COMM SERV DIST,1141,412,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310006,RIVER PINES PUD,574,230,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310008,CAMANCHE NORTH SHORE INC.,922,211,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310011,FIRST MACE MEADOW # 1,838,337,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310012,AWA BUCKHORN PLANT,8791,2738,COMMUNITY,A ,DISTRICT 10 - STOCKTON,nonexclusive_carceral,0,0,0,0
CA0310018,FIRST MACE MEADOWS UNIT NO. 2,230,82,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310019,AWA LA MEL HEIGHTS #3,188,55,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310021,AWA - CAMANCHE VILLAGE,2402,732,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310300,INDIAN GRINDING ROCK-CALAVERAS DISTRICT,63,7,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,150,54,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400003,HARTLEY MUTUAL WATER SYSTEM,41,15,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400004,FOREST RANCH MUTUAL WATER SYSTEM,119,42,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,399,172,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,4,0,1
CA0400008,GRAN MUTUAL WATER CO,290,91,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400010,PSEA CAMP - DESABLA,100,18,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400012,FARM LABOR HOUSING,460,135,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,2,0,1
CA0400013,MERRY MOUNTAIN MUTUAL,90,97,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400014,LAKE MADRONE WATER DISTRICT,297,123,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,28,8,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400019,OROVILLE MOBILE HOME PARK,76,35,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400020,PLEASANT GROVE MHP,327,88,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,3,0,1
CA0400021,ROBINSON'S CORNER MHP,20,20,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,1,5,1,1
CA0400023,GOLDEN OAKS MOBILE HOME PARK,75,25,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400026,MEADOWBROOK OAKS,50,26,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,2,0,1
CA0400027,FOOTHILLS MANUFACTURED HOME COMMUNUTY,180,127,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400030,GOLDEN FEATHER MHP,275,101,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400040,ALMOND GROVE MOBILE PARK,253,184,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400042,FOREST VILLAGE LLC,28,17,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400051,DINGERVILLE USA PARK,220,80,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400060,HONCUT ELEMENTARY SCHOOL,25,3,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400062,RICHVALE ELEMENTARY SCHOOL,63,4,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,2,0,1
CA0400063,MANZANITA ELEMENTARY SCHOOL,295,3,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400067,FEATHER RIVER SCHOOL,34,2,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400068,BERRY CREEK SCHOOL,61,2,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400070,BUTTE-GLENN COMMUNITY COLLEGE DIST,18000,55,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400073,NORD COUNTRY SCHOOL,230,17,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400078,FOREST KNOLLS MUTUAL WATER CO,46,21,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,1,0,1,0
CA0400079,FOREST RANCH CHARTER SCHOOL,125,4,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400090,MOUNTAIN VILLAGE HOMEOWNER'S ASSOC,40,17,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400091,DEL ORO WATER COMPANY - BUZZTAIL DIST.,106,31,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0400093,BAMBI INN,80,14,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400103,PG&E: PHILBROOK DAM,40,4,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400105,GRAY LODGE CHECK STATION,8000,6,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400106,RIVER ONE RV PARK,26,29,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400111,RIVER REFLECTIONS RV & CAMPGROUND,125,94,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,2,0,1
CA0400117,FALLING ROCK RV PARK,25,21,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400120,BIDWELL PARK GOLF COURSE,325,3,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400123,HUMBOLDT HIGHLANDS MUTUAL,58,28,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400132,WILD GOOSE DUCK CLUB,50,22,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400133,LUNDBERG FAMILY FARM,240,8,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400137,SOUTH FEATHER W&P - SLY CREEK CAMPGROUND,85,6,TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0400138,SOUTH FEATHER W&P - STRAWBERRY CAMPROUND,50,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0400143,BUTTE MEADOWS CAMP,30,1,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400149,HUMBOLDT WOODLANDS MUTUAL,55,31,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400150,SUNSET MOULDING CHICO,41,2,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400151,KEEFER CREEK ESTATES,160,55,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400154,TRUROOTS,85,2,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400155,BIGGERS GLEN MUTUAL WATER CO,25,18,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400160,CHICO ROD & GUN CLUB,25,6,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400161,COHASSET INDUSTRIAL PARK,30,23,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400162,PLEASANT VALLEY BAPTIST CHURCH,600,3,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,1,4,1,1
CA0400166,CHICO EASTSIDE LITTLE LEAGUE,500,3,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,2,0,1
CA0400169,CASA DE ALMA EL CAMERON PELAO,750,1,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,895,282,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0405003,SILVER DOLLAR FAIRGROUNDS,195,1,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0409181,BLUE OAK TERRACE MUTUAL,81,30,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,2,0,1
CA0409183,SIERRA MOON WATER COMPANY,120,86,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,3,0,1
CA0409200,CALVARY CONCOW CHURCH,30,1,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0410001,CITY OF BIGGS,2060,800,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,1,0,1
CA0410002,CAL-WATER SERVICE CO.-CHICO,114925,30396,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0410003,DURHAM IRRIGATION DISTRICT,1581,479,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0410004,CITY OF GRIDLEY,7269,2282,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,11106,3528,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,1,0,1
CA0410006,SOUTH FEATHER W&P - MINERS RANCH,22664,6878,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0410007,PARADISE IRRIGATION DISTRICT,9142,9368,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0410008,THERMALITO WATER & SEWER DIST,12136,3141,COMMUNITY,A ,DISTRICT 21 - VALLEY,nonexclusive_carceral,1,1,1,1
CA0410009,DEL ORO WATER CO.-MAGALIA,340,103,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,1,0,1
CA0410011,DEL ORO WATER CO.-PARADISE PINES,10940,3315,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0410012,SOUTH FEATHER W&P - BANGOR,73,22,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,521,158,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0500003,U.S. ARMY CORP NEW HOGAN,1860,2,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500007,DREAM MOUNTAIN CHRISTIAN CAMP INC.,50,8,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500019,MINERAL MOUNTAIN MUTUAL WATER,67,34,COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
CA0500021,SKY HIGH RANCH HOA,103,124,TRANSIENT NON-COMMUNITY,A ,LPA35 - CALAVERAS COUNTY,non_carceral,0,0,0,0
