pwsid,Name,population,service_connections,state_classification,activity_status_cd,regulating_agency,carceral_sys,count_of_viols_over5yrs_mcl,count_of_viols_over5yrs_mon,binary_viol_over5yrs_mcl,binary_viol_over5yrs_mon,CASDWIS_County,CASDWIS_SourceType,watersource,purchased,Water_System_Name,County,Regulating_agency,Water_System_Type,Service_Connections,Population,Primary_Service_Area,Water_Quality_Category_Score,Accessibility_Category_Score,Affordability_Category_Score,TMF_Capacity_Category_Score,Total_Risk_Assessment_Score,Automatically_At_Risk,Risk_Assessment_Result,Failing_Status,SAFER_Status,Number_of_Water_Sources,Absence_of_Interties,Source_Capacity_Violations,Bottled_Water_or_Hauled_Water_Reliance,Significant_Deficiencies,SC3i_Count_Distribution,SC5e_Drought_Impact,Distributiondis_any,n_ccr_downloaded,n_ccr_missing
CA0110012,TOWN OF SUNOL - SFPUC,281,102,COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,TOWN OF SUNOL - SFPUC,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,102,281,RESIDENTIAL AREA,0,1,0,0.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0,0,0,0,4,0
CA0110016,ALAMEDA POINT,1400,378,COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,ALAMEDA POINT,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,378,1400,OTHER AREA,0,1,0.33,0.67,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0,0,0,0,3,1
CA0202501,DIAMOND VALLEY SCHOOL,100,5,NON-TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,DIAMOND VALLEY SCHOOL,ALPINE,LPA32 - ALPINE COUNTY,NON-TRANSIENT NON-COMMUNITY,5,100,SCHOOL,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,2,2
CA0202502,WOODFORDS STATION,50,1,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202503,WOODFORDS MUTUAL WATER COMPANY,50,16,COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,WOODFORDS MUTUAL WATER COMPANY,ALPINE,LPA32 - ALPINE COUNTY,COMMUNITY,16,50,RESIDENTIAL AREA,0,2,0,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,4,0
CA0202504,MARKLEEVILLE WATER CO.,175,167,COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,SW,SW,Not purchased,MARKLEEVILLE WATER CO.,ALPINE,LPA32 - ALPINE COUNTY,COMMUNITY,167,175,RESIDENTIAL AREA,0,0.33,0,0.67,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0,0,0,0,4,0
CA0202505,PACIFIC VALLEY CAMPGROUND,50,1,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202506,CAPLES LAKE RESORT,25,11,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202509,LAKE ALPINE IMPROVEMENT ASSOCIATION,25,26,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202512,SORENSON S RESORT,60,28,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202513,SHAY CREEK HOA,32,32,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202515,CARSON RIVER RESORT,33,26,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,4
CA0202516,SORENSON S HOA,30,22,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202517,LAKE ALPINE REC. AREA,50,1,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202519,TURTLE ROCK COUNTY PARK,25,15,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202520,HOPE VALLEY RESORT,25,25,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202522,SIERRA PINES MOBILE HOME PARK,70,32,COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,SIERRA PINES MOBILE HOME PARK,ALPINE,LPA32 - ALPINE COUNTY,COMMUNITY,32,70,MOBILE HOME PARK,0,2,0,1,0.75,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,0,0,0,2,2
CA0202523,BLOOMFIELD CG #1,25,1,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202524,HIGHLAND LKS #1,25,1,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202525,HIGHLAND LAKES #2,26,1,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202529,HOPE VALLEY CG,3560,5,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202532,CRYSTAL SPRINGS CG,1118,7,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202542,WOODS LAKE REC. AREA,25,6,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202547,CAMP LIAHONA,53,8,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202548,CAMP PEACEFUL PINES,25,13,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202549,BEAR VALLEY MOUNTAIN RESORT,3500,4,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202550,ALPINE COUNTY HEALTH AND HUMAN SERVICES,25,1,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202552,PG&E MIDDLE BLUE LAKES C.G.,25,1,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202554,PG&E LOWER BLUE LAKES C.G.,25,1,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202556,PG&E UPPER BLUE LAKES C.G.,25,5,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202557,PG&E UPPER BLUE DAM SITE EXPANSION CG,25,1,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202562,SAND FLAT # 1,25,1,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202564,SAND FLAT # 3,25,1,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202565,SAND FLAT # 4,25,1,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202566,SAND FLAT # 5,25,1,TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0202599,ALPINE EARLY LEARNING CENTER,35,1,NON-TRANSIENT NON-COMMUNITY,A,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,2
CA0210001,LAKE ALPINE WATER COMPANY,625,493,COMMUNITY,A,DISTRICT 10 - STOCKTON,non_carceral,1,0,1,0,ALPINE  ,SW,SW,Not purchased,LAKE ALPINE WATER COMPANY,ALPINE,DISTRICT 10 - STOCKTON,COMMUNITY,490,625,RESIDENTIAL AREA,0.5,1.33,1.08,0.5,0.85,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,4,0
CA0210002,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,7851,867,COMMUNITY,A,DISTRICT 09 - SACRAMENTO,non_carceral,0,1,0,1,ALPINE  ,GW,GW,Not purchased,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,ALPINE,DISTRICT 09 - SACRAMENTO,COMMUNITY,866,7851,RESIDENTIAL AREA,0.75,0.33,0,0,0.27,--,Not At-Risk,Failing,Failing,4,Y,N,N,0,0,0,0,4,0
CA0300007,STOCKTON SILVER LAKE FAMILY CAMP,100,18,TRANSIENT NON-COMMUNITY,A,DISTRICT 10 - STOCKTON,non_carceral,1,1,1,1,AMADOR  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0300010,DRYTOWN COUNTY WATER DISTRICT,221,67,COMMUNITY,A,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0,AMADOR  ,SWP,SW,Purchased,DRYTOWN COUNTY WATER DISTRICT,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,67,221,RESIDENTIAL AREA,0,1,0,0.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0,0,0,0,0,4
CA0300011,SUTTER PINES MHP,40,20,COMMUNITY,A,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0,AMADOR  ,GU,GW,Not purchased,SUTTER PINES MHP,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,20,40,MOBILE HOME PARK,0.25,2,0,1,0.81,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,3,1
CA0300016,VOLCANO COMMUNITY SERVICE DIST,103,73,COMMUNITY,A,DISTRICT 10 - STOCKTON,non_carceral,0,1,0,1,AMADOR  ,GU,GW,Not purchased,VOLCANO COMMUNITY SERVICE DIST,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,73,103,RESIDENTIAL AREA,0.25,0.33,0.75,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0,0,0,0,2,2
CA0300019,FIDDLETOWN COMMUNITY SERVICE,100,66,COMMUNITY,A,DISTRICT 10 - STOCKTON,non_carceral,1,0,1,0,AMADOR  ,GW,GW,Not purchased,FIDDLETOWN COMMUNITY SERVICE,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,66,100,RESIDENTIAL AREA,2.25,1.33,0,0.67,1.06,--,At-Risk,Failing,Failing,1,Y,N,N,0,0,0,0,1,3
CA0300024,FOREST POINT MHC,62,22,COMMUNITY,A,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0,AMADOR  ,GW,GW,Not purchased,FOREST POINT MHC,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,22,62,MOBILE HOME PARK,0.25,2,0.67,0,0.73,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,1,0,1,4,0
CA0300028,AMADOR HARVEST INN,87,5,TRANSIENT NON-COMMUNITY,A,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0,AMADOR  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0300032,SILVER LAKE CAMPGROUND,500,23,TRANSIENT NON-COMMUNITY,A,DISTRICT 10 - STOCKTON,non_carceral,0,2,0,1,AMADOR  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0300033,BEAR RIVER CAMP--SOUTH SHORE,200,12,TRANSIENT NON-COMMUNITY,A,DISTRICT 10 - STOCKTON,non_carceral,0,1,0,1,AMADOR  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0300034,BEAR RIVER GROUP CAMPGROUND,125,23,TRANSIENT NON-COMMUNITY,A,DISTRICT 10 - STOCKTON,non_carceral,0,2,0,1,AMADOR  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0300036,BEAR RIVER LAKE RESORT,571,143,TRANSIENT NON-COMMUNITY,A,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0,AMADOR  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
