PWSID,System_Name,County,Regulating_Agency,Water_Quality_Risk_Level_Display,Accessability_Risk_Level_Display,Affordability_Risk_Level_Display,TMF_Capacity_Risk_Level_Display,POPULATION ,SAFER_STATUS,Distinct count of PWSID,Funding Since 2017
CA0202504,MARKLEEVILLE WATER CO.,ALPINE,LPA32 - ALPINE COUNTY,No Risk,Low Risk,No Risk,Low Risk,175,Not At-Risk,1,"$3,435,300 "
CA0202522,SIERRA PINES MOBILE HOME PARK,ALPINE,LPA32 - ALPINE COUNTY,No Risk,High Risk,No Risk,Medium Risk,70,Potentially At-Risk,1,$0 
CA0202599,ALPINE EARLY LEARNING CENTER,ALPINE,LPA32 - ALPINE COUNTY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,35,Not Assessed,1,$0 
CA0210001,LAKE ALPINE WATER COMPANY,ALPINE,DISTRICT 10 - STOCKTON,Low Risk,High Risk,High Risk,Low Risk,625,At-Risk,1,$0 
CA0210002,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,ALPINE,DISTRICT 09 - SACRAMENTO,Low Risk,Low Risk,No Risk,No Risk,"7,851",Failing,1,$0 
CA0300010,DRYTOWN COUNTY WATER DISTRICT,AMADOR,DISTRICT 10 - STOCKTON,No Risk,Medium Risk,No Risk,Low Risk,221,Not At-Risk,1,$0 
CA0300011,SUTTER PINES MHP,AMADOR,DISTRICT 10 - STOCKTON,Low Risk,High Risk,No Risk,Medium Risk,40,Failing,1,$0 
CA0300016,VOLCANO COMMUNITY SERVICE DIST,AMADOR,DISTRICT 10 - STOCKTON,Low Risk,Low Risk,Medium Risk,No Risk,103,Not At-Risk,1,$0 
CA0300019,FIDDLETOWN COMMUNITY SERVICE,AMADOR,DISTRICT 10 - STOCKTON,High Risk,High Risk,No Risk,Low Risk,100,At-Risk,1,$0 
CA0300024,FOREST POINT MHC,AMADOR,DISTRICT 10 - STOCKTON,No Risk,High Risk,Medium Risk,No Risk,62,Potentially At-Risk,1,$0 
CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,AMADOR,DISTRICT 10 - STOCKTON,Low Risk,High Risk,No Risk,No Risk,"3,553",At-Risk,1,"$4,013,142 "
CA0300053,RANCHO DEL ORO MHP,AMADOR,DISTRICT 10 - STOCKTON,No Risk,High Risk,No Risk,Medium Risk,44,Potentially At-Risk,1,$0 
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,AMADOR,DISTRICT 10 - STOCKTON,Low Risk,High Risk,No Risk,Medium Risk,299,At-Risk,1,$0 
CA0300078,IONE BAND OF MIWOK INDIANS,AMADOR,DISTRICT 10 - STOCKTON,Low Risk,High Risk,No Risk,Low Risk,40,Failing,1,$0 
CA0310001,CITY OF JACKSON,AMADOR,DISTRICT 10 - STOCKTON,Low Risk,Medium Risk,No Risk,No Risk,"5,019",Not At-Risk,1,"$495,574 "
CA0310002,"AWA, IONE",AMADOR,DISTRICT 10 - STOCKTON,Low Risk,High Risk,Medium Risk,No Risk,"7,227",Potentially At-Risk,1,$0 
CA0310003,"AWA, TANNER",AMADOR,DISTRICT 10 - STOCKTON,No Risk,High Risk,High Risk,No Risk,"4,940",Potentially At-Risk,1,$0 
CA0310004,"PLYMOUTH, CITY OF",AMADOR,DISTRICT 10 - STOCKTON,Low Risk,No Risk,No Risk,Low Risk,"1,060",Not At-Risk,1,$0 
CA0310005,PINE GROVE COMM SERV DIST,AMADOR,DISTRICT 10 - STOCKTON,No Risk,Medium Risk,Low Risk,No Risk,"1,141",Not At-Risk,1,"$2,064,045 "
CA0310006,RIVER PINES PUD,AMADOR,DISTRICT 10 - STOCKTON,No Risk,Low Risk,High Risk,Low Risk,574,Not At-Risk,1,"$7,574,250 "
CA0310008,CAMANCHE NORTH SHORE INC.,AMADOR,DISTRICT 10 - STOCKTON,No Risk,Low Risk,No Risk,Medium Risk,922,Not At-Risk,1,$0 
CA0310011,FIRST MACE MEADOW # 1,AMADOR,DISTRICT 10 - STOCKTON,No Risk,Medium Risk,No Risk,No Risk,838,Not At-Risk,1,$0 
CA0310012,AWA BUCKHORN PLANT,AMADOR,DISTRICT 10 - STOCKTON,No Risk,High Risk,No Risk,No Risk,"8,791",Not At-Risk,1,$0 
CA0310018,FIRST MACE MEADOWS UNIT NO. 2,AMADOR,DISTRICT 10 - STOCKTON,No Risk,Medium Risk,No Risk,Low Risk,230,Not At-Risk,1,$0 
CA0310019,AWA LA MEL HEIGHTS #3,AMADOR,DISTRICT 10 - STOCKTON,No Risk,Low Risk,Medium Risk,Low Risk,188,Not At-Risk,1,$0 
CA0310021,AWA - CAMANCHE VILLAGE,AMADOR,DISTRICT 10 - STOCKTON,No Risk,Low Risk,No Risk,No Risk,"2,402",Not At-Risk,1,$0 
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,BUTTE,LPA34 - BUTTE COUNTY,Low Risk,Low Risk,No Risk,Medium Risk,150,Not At-Risk,1,$0 
CA0400003,HARTLEY MUTUAL WATER SYSTEM,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,No Risk,41,Not At-Risk,1,$0 
CA0400004,FOREST RANCH MUTUAL WATER SYSTEM,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,High Risk,No Risk,119,Potentially At-Risk,1,$0 
CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,Low Risk,Medium Risk,399,Not At-Risk,1,$0 
CA0400008,GRAN MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,No Risk,Medium Risk,290,Not At-Risk,1,$0 
CA0400012,GRIDLEY FARM LABOR HOUSING,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,High Risk,460,At-Risk,1,$0 
CA0400013,MERRY MOUNTAIN MUTUAL,BUTTE,LPA34 - BUTTE COUNTY,Low Risk,Low Risk,High Risk,Low Risk,90,Not At-Risk,1,$0 
CA0400014,LAKE MADRONE WATER DISTRICT,BUTTE,LPA34 - BUTTE COUNTY,Low Risk,Low Risk,Low Risk,Low Risk,297,Failing,1,$0 
CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,High Risk,Low Risk,28,Not At-Risk,1,$0 
CA0400019,OROVILLE MOBILE HOME PARK,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,High Risk,76,Potentially At-Risk,1,$0 
CA0400020,PLEASANT GROVE MHP,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,High Risk,High Risk,327,Failing,1,$0 
CA0400021,ROBINSON'S CORNER MHP,BUTTE,LPA34 - BUTTE COUNTY,High Risk,High Risk,Low Risk,High Risk,20,Failing,1,$0 
CA0400023,GOLDEN OAKS MOBILE HOME PARK,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,Low Risk,Low Risk,75,Potentially At-Risk,1,$0 
CA0400026,MEADOWBROOK OAKS,BUTTE,LPA34 - BUTTE COUNTY,Low Risk,High Risk,Medium Risk,High Risk,50,At-Risk,1,$0 
CA0400027,FOOTHILLS MANUFACTURED HOME COMMUNUTY,BUTTE,LPA34 - BUTTE COUNTY,High Risk,Medium Risk,Medium Risk,Medium Risk,180,At-Risk,1,$0 
CA0400030,GOLDEN FEATHER MHP,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,Low Risk,Medium Risk,275,Not At-Risk,1,$0 
CA0400040,ALMOND GROVE MOBILE PARK,BUTTE,LPA34 - BUTTE COUNTY,Low Risk,High Risk,Low Risk,High Risk,253,At-Risk,1,$0 
CA0400042,FOREST VILLAGE LLC,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,No Risk,28,Not At-Risk,1,$0 
CA0400051,DINGERVILLE USA PARK,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,Low Risk,Low Risk,220,Not At-Risk,1,$0 
CA0400060,HONCUT ELEMENTARY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,Medium Risk,Low Risk,Low Risk,No Risk,25,Failing,1,"$2,876,900 "
CA0400062,RICHVALE ELEMENTARY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,High Risk,63,Potentially At-Risk,1,$0 
CA0400063,MANZANITA ELEMENTARY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,High Risk,High Risk,No Risk,No Risk,295,Failing,1,"$569,820 "
CA0400065,SPRING VALLEY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,Low Risk,High Risk,Medium Risk,Low Risk,70,Failing,1,$0 
CA0400067,FEATHER RIVER SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,High Risk,High Risk,Low Risk,No Risk,34,Failing,1,$0 
CA0400068,BERRY CREEK SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,61,Not Assessed,1,$0 
CA0400073,NORD COUNTRY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,No Risk,230,Not At-Risk,1,$0 
CA0400078,FOREST KNOLLS MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,No Risk,46,Not At-Risk,1,$0 
CA0400079,FOREST RANCH CHARTER SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,No Risk,125,Not At-Risk,1,$0 
CA0400090,MOUNTAIN VILLAGE HOMEOWNER'S ASSOC,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,Low Risk,40,Not At-Risk,1,$0 
CA0400091,DEL ORO WATER COMPANY - BUZZTAIL DIST.,BUTTE,DISTRICT 21 - VALLEY,No Risk,High Risk,No Risk,No Risk,106,Not At-Risk,1,$0 
CA0400117,FALLING ROCK RV PARK,BUTTE,LPA34 - BUTTE COUNTY,Medium Risk,High Risk,High Risk,No Risk,25,At-Risk,1,$0 
CA0400123,HUMBOLDT HIGHLANDS MUTUAL,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,Medium Risk,58,Not At-Risk,1,$0 
CA0400149,HUMBOLDT WOODLANDS MUTUAL,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,Low Risk,55,At-Risk,1,$0 
CA0400151,KEEFER CREEK ESTATES,BUTTE,LPA34 - BUTTE COUNTY,Medium Risk,Low Risk,No Risk,Medium Risk,160,Potentially At-Risk,1,$0 
CA0400155,BIGGERS GLEN MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,No Risk,25,Not At-Risk,1,$0 
CA0400162,PLEASANT VALLEY BAPTIST CHURCH,BUTTE,LPA34 - BUTTE COUNTY,High Risk,High Risk,No Risk,Low Risk,600,At-Risk,1,$0 
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,BUTTE,DISTRICT 21 - VALLEY,Low Risk,No Risk,High Risk,Low Risk,895,Not At-Risk,1,$0 
CA0409181,BLUE OAK TERRACE MUTUAL,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,Low Risk,No Risk,81,Not At-Risk,1,$0 
CA0409183,SIERRA MOON MUTUAL WATER COMPANY,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,No Risk,No Risk,120,Not At-Risk,1,$0 
CA0410001,CITY OF BIGGS,BUTTE,DISTRICT 21 - VALLEY,No Risk,Low Risk,No Risk,No Risk,"2,060",Not At-Risk,1,$0 
CA0410002,CAL-WATER SERVICE CO.-CHICO,BUTTE,DISTRICT 21 - VALLEY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"114,925",Not Assessed,1,$0 
CA0410003,DURHAM IRRIGATION DISTRICT,BUTTE,DISTRICT 21 - VALLEY,Medium Risk,Low Risk,No Risk,Low Risk,"1,581",Potentially At-Risk,1,$0 
CA0410004,CITY OF GRIDLEY,BUTTE,DISTRICT 21 - VALLEY,High Risk,Low Risk,Low Risk,No Risk,"7,269",At-Risk,1,$0 
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,BUTTE,DISTRICT 21 - VALLEY,Medium Risk,Low Risk,Medium Risk,No Risk,"11,106",Potentially At-Risk,1,$0 
CA0410006,SOUTH FEATHER W&P - MINERS RANCH,BUTTE,DISTRICT 21 - VALLEY,No Risk,High Risk,No Risk,Low Risk,"22,664",Not At-Risk,1,$0 
CA0410007,PARADISE IRRIGATION DISTRICT,BUTTE,DISTRICT 21 - VALLEY,No Risk,Low Risk,Low Risk,Low Risk,"9,142",Not At-Risk,1,"$28,367,540 "
CA0410008,THERMALITO WATER & SEWER DIST,BUTTE,DISTRICT 21 - VALLEY,Low Risk,Low Risk,Low Risk,No Risk,"12,136",Not At-Risk,1,$0 
CA0410009,DEL ORO WATER CO.-MAGALIA,BUTTE,DISTRICT 21 - VALLEY,No Risk,No Risk,High Risk,Low Risk,340,Not At-Risk,1,$0 
CA0410011,DEL ORO WATER CO.-PARADISE PINES,BUTTE,DISTRICT 21 - VALLEY,No Risk,No Risk,No Risk,No Risk,"10,940",Not At-Risk,1,$0 
CA0410012,SOUTH FEATHER W&P - BANGOR,BUTTE,DISTRICT 21 - VALLEY,No Risk,High Risk,Low Risk,Low Risk,73,Not At-Risk,1,$0 
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,BUTTE,DISTRICT 21 - VALLEY,No Risk,High Risk,Low Risk,No Risk,521,Not At-Risk,1,$0 
CA0500019,MINERAL MOUNTAIN MUTUAL WATER,CALAVERAS,LPA35 - CALAVERAS COUNTY,No Risk,Low Risk,No Risk,No Risk,67,Not At-Risk,1,$0 
CA0500027,LILI VALLEY WATER CO.,CALAVERAS,LPA35 - CALAVERAS COUNTY,No Risk,Low Risk,High Risk,Low Risk,99,Potentially At-Risk,1,$0 
CA0500068,DUNROVIN MOBILE HOME VILLAGE,CALAVERAS,LPA35 - CALAVERAS COUNTY,No Risk,Low Risk,Low Risk,Low Risk,99,Not At-Risk,1,$0 
CA0500075,LAKESIDE MOBILE ESTATES,CALAVERAS,LPA35 - CALAVERAS COUNTY,No Risk,High Risk,Medium Risk,Low Risk,30,At-Risk,1,$0 
CA0500082,ANGELS CAMP RV/CAMPING RESORT,CALAVERAS,LPA35 - CALAVERAS COUNTY,No Risk,High Risk,Medium Risk,Medium Risk,288,Potentially At-Risk,1,$0 
CA0500085,TOYON MIDDLE SCHOOL,CALAVERAS,LPA35 - CALAVERAS COUNTY,No Risk,Low Risk,Medium Risk,No Risk,200,Not At-Risk,1,$0 
CA0500091,RITE OF PASSAGE/SIERRA RIDGE,CALAVERAS,LPA35 - CALAVERAS COUNTY,Low Risk,Low Risk,High Risk,No Risk,150,Potentially At-Risk,1,$0 
CA0500095,VINE & BRANCH FELLOWSHIP,CALAVERAS,LPA35 - CALAVERAS COUNTY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,85,Not Assessed,1,$0 
CA0510001,UNION PUBLIC UTILITY DISTRICT,CALAVERAS,DISTRICT 10 - STOCKTON,Low Risk,High Risk,High Risk,Low Risk,"4,774",At-Risk,1,$0 
CA0510002,CALAVERAS PUD,CALAVERAS,DISTRICT 10 - STOCKTON,No Risk,High Risk,High Risk,Low Risk,"6,286",Potentially At-Risk,1,"$483,000 "
CA0510003,"ANGELS, CITY OF",CALAVERAS,DISTRICT 10 - STOCKTON,Medium Risk,High Risk,High Risk,No Risk,"3,836",At-Risk,1,$0 
CA0510004,CCWD - SHEEP RANCH,CALAVERAS,DISTRICT 10 - STOCKTON,No Risk,High Risk,Medium Risk,Low Risk,89,At-Risk,1,$0 
CA0510005,CCWD - WEST POINT,CALAVERAS,DISTRICT 10 - STOCKTON,No Risk,Low Risk,High Risk,Low Risk,"1,043",Potentially At-Risk,1,$0 
CA0510006,CCWD - JENNY LIND,CALAVERAS,DISTRICT 10 - STOCKTON,No Risk,High Risk,No Risk,Low Risk,"9,861",Not At-Risk,1,$0 
CA0510009,BLUE LAKE SPRINGS MUT WTR,CALAVERAS,DISTRICT 10 - STOCKTON,Low Risk,No Risk,No Risk,No Risk,"4,841",Not At-Risk,1,$0 
CA0510010,VALLEY SPRINGS PUD,CALAVERAS,DISTRICT 10 - STOCKTON,No Risk,Medium Risk,High Risk,Low Risk,900,Potentially At-Risk,1,$0 
CA0510011,SNOWSHOE SPRINGS ASSN.,CALAVERAS,DISTRICT 10 - STOCKTON,Low Risk,High Risk,No Risk,Low Risk,686,At-Risk,1,$0 
CA0510012,CAMANCHE SOUTH SHORE-EBMUD,CALAVERAS,DISTRICT 10 - STOCKTON,No Risk,Low Risk,Low Risk,Medium Risk,828,Not At-Risk,1,$0 
CA0510016,CCWD - EBBETTS PASS,CALAVERAS,DISTRICT 10 - STOCKTON,Low Risk,Low Risk,No Risk,Low Risk,"11,545",Not At-Risk,1,$0 
CA0510017,CCWD - COPPER COVE,CALAVERAS,DISTRICT 10 - STOCKTON,No Risk,High Risk,High Risk,Low Risk,"5,187",Potentially At-Risk,1,$0 
CA0510019,CCWD - WALLACE,CALAVERAS,DISTRICT 10 - STOCKTON,No Risk,Medium Risk,Low Risk,Low Risk,255,Not At-Risk,1,$0 
CA0600005,COLUSA CO. SERVICE AREA #2-STONYFORD,COLUSA,DISTRICT 21 - VALLEY,No Risk,High Risk,High Risk,Medium Risk,250,At-Risk,1,$0 
CA0600008,COLUSA CO. WWD #1 - GRIMES,COLUSA,DISTRICT 21 - VALLEY,High Risk,High Risk,Low Risk,Low Risk,512,Failing,1,"$1,472,617 "
CA0600012,COLUSA CO. SERVICE AREA #1-CENTURY RANCH,COLUSA,DISTRICT 21 - VALLEY,Low Risk,High Risk,No Risk,Medium Risk,246,Potentially At-Risk,1,$0 
CA0600013,COLUSA CO. WWD #2 - PRINCETON,COLUSA,DISTRICT 21 - VALLEY,No Risk,Low Risk,Medium Risk,Low Risk,382,Not At-Risk,1,$0 
CA0605011,DEL ORO WC - ARBUCKLE DISTRICT,COLUSA,DISTRICT 21 - VALLEY,No Risk,Low Risk,No Risk,No Risk,185,Not At-Risk,1,$0 
CA0610001,ARBUCKLE PUBLIC UTILITY DISTRICT,COLUSA,DISTRICT 21 - VALLEY,Low Risk,Low Risk,No Risk,No Risk,"2,778",Not At-Risk,1,$0 
CA0610002,CITY OF COLUSA,COLUSA,DISTRICT 21 - VALLEY,Low Risk,Low Risk,Low Risk,No Risk,"6,447",Failing,1,"$1,856,995 "
CA0610003,MAXWELL PUBLIC UTILITY DISTRICT,COLUSA,DISTRICT 21 - VALLEY,No Risk,Low Risk,Medium Risk,Low Risk,"1,175",Not At-Risk,1,$0 
CA0610004,CITY OF WILLIAMS,COLUSA,DISTRICT 21 - VALLEY,No Risk,Low Risk,No Risk,Low Risk,"5,538",Not At-Risk,1,"$5,405,000 "
CA0706004,OAKLEY MUTUAL WATER COMPANY,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,High Risk,High Risk,No Risk,Low Risk,170,Failing,1,$0 
CA0706005,FARRAR PARK PROPERTY OWNERS,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,High Risk,High Risk,Low Risk,No Risk,140,At-Risk,1,$0 
CA0706028,KNIGHTSEN ELEMENTARY SCHOOL,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,Medium Risk,No Risk,350,At-Risk,1,$0 
CA0706029,EXCELSIOR MIDDLE SCHOOL,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,High Risk,Medium Risk,No Risk,600,Failing,1,$0 
CA0707501,ANGLER S RANCH #3,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,Low Risk,No Risk,60,Not At-Risk,1,$0 
CA0707507,WILLOW PARK MARINA,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,High Risk,Low Risk,High Risk,Low Risk,380,Failing,1,$0 
CA0707517,COLONIA SANTA MARIA,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,No Risk,Low Risk,32,Not At-Risk,1,$0 
CA0707519,DUTCH SLOUGH WATER WORKS,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,Low Risk,No Risk,49,Not At-Risk,1,$0 
CA0707523,BETHEL ISLAND ESTATES,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,High Risk,Low Risk,Medium Risk,200,At-Risk,1,$0 
CA0707545,ORWOOD RESORT,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,Low Risk,No Risk,Low Risk,350,Not At-Risk,1,$0 
CA0707547,KNIGHTSEN COMMUNITY WATER SYSTEM,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,Low Risk,Low Risk,73,Not At-Risk,1,$0 
CA0707553,RIVERVIEW MOBILE HOME PARK,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,High Risk,No Risk,Low Risk,126,Not At-Risk,1,$0 
CA0707556,SANDMOUND MUTUAL,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Medium Risk,Low Risk,Low Risk,Low Risk,100,Potentially At-Risk,1,$0 
CA0707569,ANGLERS SUBDIVISION 4,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,Low Risk,No Risk,No Risk,99,Not At-Risk,1,$0 
CA0707572,BETHEL ISLAND MUTUAL WATER CO,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,High Risk,Low Risk,No Risk,123,Not At-Risk,1,$0 
CA0707573,DELTA MUTUAL WATER COMPANY,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,High Risk,Low Risk,Low Risk,No Risk,333,Failing,1,$0 
CA0707575,BETHEL ISLAND MHC,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,Low Risk,No Risk,185,Not At-Risk,1,$0 
CA0707576,PLEASANTIMES MUTUAL WATER CO,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,Low Risk,No Risk,Low Risk,644,Not At-Risk,1,$0 
CA0707577,RIVERVIEW WATER ASSOCIATION,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,Low Risk,No Risk,No Risk,230,Not At-Risk,1,$0 
CA0707585,MORAGA HEIGHTS MUTUAL WATER,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,No Risk,Low Risk,66,Not At-Risk,1,$0 
CA0707588,BIG OAK MOBILE HOME PARK WATER,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,Low Risk,No Risk,Low Risk,156,Not At-Risk,1,$0 
CA0707589,BELLA VISTA WATER SYS,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,Medium Risk,No Risk,Low Risk,93,Failing,1,$0 
CA0707594,CASA MEDANOS WATER SYSTEM,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,Medium Risk,Low Risk,45,Not At-Risk,1,$0 
CA0707597,SANDY POINT MOBILE HOME PARK,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,Low Risk,No Risk,67,Not At-Risk,1,$0 
CA0707598,CAMINO MOBILEHOME,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,Medium Risk,Low Risk,210,Potentially At-Risk,1,$0 
CA0707601,RUSSOS MOBILE PARK,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,No Risk,No Risk,110,Not At-Risk,1,$0 
CA0707603,CLAYTON PALMS WATER,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,Medium Risk,No Risk,Low Risk,549,Not At-Risk,1,$0 
CA0707608,MARINA MOBILE MANOR,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,Low Risk,No Risk,75,Not At-Risk,1,$0 
CA0707613,WILLOW MOBILE HOME PARK,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,No Risk,Low Risk,481,Not At-Risk,1,$0 
