PWSID,Water_System_Name,County,Regulating_agency,Water_System_Type,Service_Connections,Population, Primary_Service_Area,Water_Quality_Category_Score,Accessibility_Category_Score,Affordability_Category_Score,TMF_Capacity_Category_Score,Total_Risk_Assessment_Score,Automatically_At_Risk,Risk_Assessment_Result,Failing_Status,SAFER_Status,Number_of_Water_Sources,Absence_of_Interties,Source_Capacity_Violations,Bottled_Water_or_Hauled_Water_Reliance,Significant_Deficiencies
CA0202522,SIERRA PINES MOBILE HOME PARK,ALPINE,LPA32 - ALPINE COUNTY,COMMUNITY,32,70,MOBILE HOME PARK              ,0,2,0,1,0.75,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA0210001,LAKE ALPINE WATER COMPANY,ALPINE,DISTRICT 10 - STOCKTON,COMMUNITY,490,625,RESIDENTIAL AREA              ,0.5,1.33,1.08,0.5,0.85,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0210002,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,ALPINE,DISTRICT 09 - SACRAMENTO,COMMUNITY,866,7851,RESIDENTIAL AREA              ,0.75,0.33,0,0,0.27,--,Not At-Risk,Failing,Failing,4,Y,N,N,0
CA0300010,DRYTOWN COUNTY WATER DISTRICT,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,67,221,RESIDENTIAL AREA              ,0,1,0,0.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0
CA0300011,SUTTER PINES MHP,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,20,40,MOBILE HOME PARK              ,0.25,2,0,1,0.81,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0300016,VOLCANO COMMUNITY SERVICE DIST,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,73,103,RESIDENTIAL AREA              ,0.25,0.33,0.75,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA0300019,FIDDLETOWN COMMUNITY SERVICE,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,66,100,RESIDENTIAL AREA              ,2.25,1.33,0,0.67,1.06,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA0300024,FOREST POINT MHC,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,22,62,MOBILE HOME PARK              ,0.25,2,0.67,0,0.73,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,355,3553,MOBILE HOME PARK              ,0.25,2,0,0,0.56,At-Risk,At-Risk,Non-Failing,At-Risk,2,Y,N,Y,0
CA0300053,RANCHO DEL ORO MHP,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,28,44,MOBILE HOME PARK              ,0,2,0,1,0.75,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,21,299,RESIDENTIAL AREA              ,0.75,2,0,1,0.94,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0300078,IONE BAND OF MIWOK INDIANS,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,12,40,RESIDENTIAL AREA              ,0.25,2.5,0,0.67,0.86,At-Risk,At-Risk,Non-Failing,At-Risk,1,Y,N,Y,0
CA0310001,CITY OF JACKSON,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,2208,5019,OTHER AREA                    ,0.5,1,0,0,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0
CA0310002,"AWA, IONE",AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,2342,7227,RESIDENTIAL AREA              ,0.75,1.33,0.75,0,0.71,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA0310003,"AWA, TANNER",AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,1754,4940,RESIDENTIAL AREA              ,0,1.33,1.08,0,0.6,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA0310004,"PLYMOUTH, CITY OF",AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,534,1060,RESIDENTIAL AREA              ,0.5,0,0,0.5,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,3,N,N,N,0
CA0310005,PINE GROVE COMM SERV DIST,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,410,1141,RESIDENTIAL AREA              ,0,1,0.33,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0
CA0310006,RIVER PINES PUD,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,230,574,RESIDENTIAL AREA              ,0,0.33,1,0.17,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA0310008,CAMANCHE NORTH SHORE INC.,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,211,1012,RECREATION AREA               ,0,0.33,0,1,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA0310011,FIRST MACE MEADOW # 1,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,337,838,RESIDENTIAL AREA              ,0,1,0,0,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0
CA0310012,AWA BUCKHORN PLANT,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,2738,8791,RESIDENTIAL AREA              ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0310018,FIRST MACE MEADOWS UNIT NO. 2,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,82,230,RESIDENTIAL AREA              ,0,1,0,0.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0
CA0310019,AWA LA MEL HEIGHTS #3,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,55,188,RESIDENTIAL AREA              ,0,0.33,0.75,0.33,0.35,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0310021,AWA - CAMANCHE VILLAGE,AMADOR,DISTRICT 10 - STOCKTON,COMMUNITY,728,2402,RESIDENTIAL AREA              ,0,0.33,0,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,54,150,INSTITUTION                   ,0.25,0.5,0,1,0.44,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0400003,HARTLEY MUTUAL WATER SYSTEM,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,15,41,RESIDENTIAL AREA              ,0,1.5,0,0,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0400004,FOREST RANCH MUTUAL WATER SYSTEM,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,42,119,RESIDENTIAL AREA              ,0,1.5,1.08,0,0.65,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,172,399,RESIDENTIAL AREA              ,0,0.33,0.17,1.67,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA0400008,GRAN MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,91,290,RESIDENTIAL AREA              ,0,0.33,0,1,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0400012,FARM LABOR HOUSING,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,135,460,RESIDENTIAL AREA              ,0.25,2,0,1.33,0.9,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0400013,MERRY MOUNTAIN MUTUAL,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,97,90,RESIDENTIAL AREA              ,0.25,0.33,1,0.33,0.48,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0
CA0400014,LAKE MADRONE WATER DISTRICT,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,123,297,RESIDENTIAL AREA              ,0.5,0.33,0.33,0.67,0.46,--,Not At-Risk,Failing,Failing,2,Y,N,N,0
CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,8,28,RESIDENTIAL AREA              ,0,0.33,1,0.67,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0
CA0400019,OROVILLE MOBILE HOME PARK,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,35,76,MOBILE HOME PARK              ,0,1.33,0,0.83,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0400020,PLEASANT GROVE MHP,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,88,327,MOBILE HOME PARK              ,0,0.33,1,1.33,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA0400021,ROBINSON'S CORNER MHP,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,20,20,MOBILE HOME PARK              ,3,1.5,0.33,2.17,1.75,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA0400023,GOLDEN OAKS MOBILE HOME PARK,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,25,75,MOBILE HOME PARK              ,0,1.33,0.33,0.83,0.62,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA0400026,MEADOWBROOK OAKS,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,26,50,MOBILE HOME PARK              ,0.25,1.33,0.67,1.67,0.98,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0400027,FOOTHILLS MANUFACTURED HOME COMMUNUTY,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,127,180,MOBILE HOME PARK              ,2,1,0.67,1,1.17,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0
CA0400030,GOLDEN FEATHER MHP,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,101,275,MOBILE HOME PARK              ,0,0.33,0.33,1,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0400040,ALMOND GROVE MOBILE PARK,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,184,253,MOBILE HOME PARK              ,1,1.33,0.33,0.67,0.83,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0400042,FOREST VILLAGE LLC,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,17,28,MOBILE HOME PARK              ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0400051,DINGERVILLE USA PARK,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,80,220,MOBILE HOME PARK              ,0,0.33,0.33,0.5,0.29,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0400060,HONCUT ELEMENTARY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,NON-TRANSIENT NON-COMMUNITY,3,25,SCHOOL                        ,1.5,0.33,0.33,0,0.54,--,Not At-Risk,Failing,Failing,2,Y,N,N,0
CA0400062,RICHVALE ELEMENTARY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,NON-TRANSIENT NON-COMMUNITY,4,63,SCHOOL                        ,0,1.33,0,1,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0400063,MANZANITA ELEMENTARY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,NON-TRANSIENT NON-COMMUNITY,3,295,SCHOOL                        ,2.5,1.5,0,0,1,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA0400064,CONCOW ELEMENTARY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,NON-TRANSIENT NON-COMMUNITY,11,115,SCHOOL                        ,0,2.33,0.67,0,0.75,At-Risk,At-Risk,Non-Failing,At-Risk,1,Y,N,Y,0
CA0400065,SPRING VALLEY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,NON-TRANSIENT NON-COMMUNITY,1,70,SCHOOL                        ,2,3,0.67,0.67,1.59,At-Risk,At-Risk,Failing,Failing,1,Y,N,Y,0
CA0400067,FEATHER RIVER SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,NON-TRANSIENT NON-COMMUNITY,2,34,SCHOOL                        ,3,1.33,0.33,0,1.17,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA0400073,NORD COUNTRY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,NON-TRANSIENT NON-COMMUNITY,17,230,SCHOOL                        ,0,1.5,0,0,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0400078,FOREST KNOLLS MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,21,46,RESIDENTIAL AREA              ,0.5,1.5,0,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0400079,FOREST RANCH CHARTER SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,NON-TRANSIENT NON-COMMUNITY,4,125,SCHOOL                        ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0400090,MOUNTAIN VILLAGE HOMEOWNER'S ASSOC,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,17,40,RESIDENTIAL AREA              ,0,1.33,0,0.67,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0400091,DEL ORO WATER COMPANY - BUZZTAIL DIST.,BUTTE,DISTRICT 21 - VALLEY,COMMUNITY,31,106,RESIDENTIAL AREA              ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0400117,FALLING ROCK RV PARK,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,21,25,OTHER TRANSIENT AREA          ,1.5,1.33,1,0,0.96,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0400123,HUMBOLDT HIGHLANDS MUTUAL,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,28,58,RESIDENTIAL AREA              ,0,1.33,0,1,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0400149,HUMBOLDT WOODLANDS MUTUAL,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,31,55,RESIDENTIAL AREA              ,0,1.5,0,0.67,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0400151,KEEFER CREEK ESTATES,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,55,160,RESIDENTIAL AREA              ,1.5,0.33,0,1,0.71,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA0400155,BIGGERS GLEN MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,18,25,RESIDENTIAL AREA              ,0.25,1.33,0,0,0.4,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0400162,PLEASANT VALLEY BAPTIST CHURCH,BUTTE,LPA34 - BUTTE COUNTY,NON-TRANSIENT NON-COMMUNITY,3,600,SCHOOL                        ,2,1.33,0,0.67,1,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,BUTTE,DISTRICT 21 - VALLEY,COMMUNITY,282,895,RECREATION AREA               ,0.25,0,1.42,0.33,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,4,N,N,N,0
CA0409181,BLUE OAK TERRACE MUTUAL,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,30,81,RESIDENTIAL AREA              ,0,0.33,0.33,0,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0409183,SIERRA MOON WATER COMPANY,BUTTE,LPA34 - BUTTE COUNTY,COMMUNITY,86,120,RESIDENTIAL AREA              ,0,0.33,0,0.67,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0410001,CITY OF BIGGS,BUTTE,DISTRICT 21 - VALLEY,COMMUNITY,800,2060,RESIDENTIAL AREA              ,0,0.33,0,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA0410003,DURHAM IRRIGATION DISTRICT,BUTTE,DISTRICT 21 - VALLEY,COMMUNITY,479,1581,RESIDENTIAL AREA              ,1.5,0.33,0,0.67,0.63,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,3,Y,N,N,0
CA0410004,CITY OF GRIDLEY,BUTTE,DISTRICT 21 - VALLEY,COMMUNITY,2282,7444,RESIDENTIAL AREA              ,0,0.33,0.33,0,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,7,Y,N,N,0
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,BUTTE,DISTRICT 21 - VALLEY,COMMUNITY,3553,11045,RESIDENTIAL AREA              ,1.5,0.33,0.67,0,0.63,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,4,Y,N,N,0
CA0410006,SOUTH FEATHER W&P - MINERS RANCH,BUTTE,DISTRICT 21 - VALLEY,COMMUNITY,6878,22664,RESIDENTIAL AREA              ,0,1.33,0,0.67,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0410007,PARADISE IRRIGATION DISTRICT,BUTTE,DISTRICT 21 - VALLEY,COMMUNITY,9368,9142,MUNICIPALITY                  ,0,0.33,0.33,0.67,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0410008,THERMALITO WATER & SEWER DIST,BUTTE,DISTRICT 21 - VALLEY,COMMUNITY,3141,12136,RESIDENTIAL AREA              ,0.5,0.33,0.33,0,0.29,--,Not At-Risk,Non-Failing,Not At-Risk,5,Y,N,N,0
CA0410009,DEL ORO WATER CO.-MAGALIA,BUTTE,DISTRICT 21 - VALLEY,COMMUNITY,103,340,RESIDENTIAL AREA              ,0,0,1.08,0.33,0.35,--,Not At-Risk,Non-Failing,Not At-Risk,3,N,N,N,0
CA0410011,DEL ORO WATER CO.-PARADISE PINES,BUTTE,DISTRICT 21 - VALLEY,COMMUNITY,3300,10900,RESIDENTIAL AREA              ,0,0,0,0,0,--,Not At-Risk,Non-Failing,Not At-Risk,5,N,N,N,0
CA0410012,SOUTH FEATHER W&P - BANGOR,BUTTE,DISTRICT 21 - VALLEY,COMMUNITY,22,73,RESIDENTIAL AREA              ,0,1.33,0.33,0.67,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,BUTTE,DISTRICT 21 - VALLEY,COMMUNITY,158,521,RESIDENTIAL AREA              ,0,1.33,0.33,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0500019,MINERAL MOUNTAIN MUTUAL WATER,CALAVERAS,LPA35 - CALAVERAS COUNTY,COMMUNITY,34,67,RESIDENTIAL AREA              ,0.25,0.33,0,0,0.15,--,Not At-Risk,Non-Failing,Not At-Risk,5,Y,N,N,0
CA0500027,LILI VALLEY WATER CO.,CALAVERAS,LPA35 - CALAVERAS COUNTY,COMMUNITY,70,99,RESIDENTIAL AREA              ,0,0.33,1.42,0.67,0.61,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA0500068,DUNROVIN MOBILE HOME VILLAGE,CALAVERAS,LPA35 - CALAVERAS COUNTY,COMMUNITY,37,99,MOBILE HOME PARK              ,0,0.33,0.33,0.33,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0500075,LAKESIDE MOBILE ESTATES,CALAVERAS,LPA35 - CALAVERAS COUNTY,COMMUNITY,24,30,MOBILE HOME PARK              ,0,2,0.67,0.67,0.84,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0500082,ANGELS CAMP RV/CAMPING RESORT,CALAVERAS,LPA35 - CALAVERAS COUNTY,COMMUNITY,102,288,RECREATION AREA               ,0,1.33,0.67,1,0.75,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA0500085,TOYON MIDDLE SCHOOL,CALAVERAS,LPA35 - CALAVERAS COUNTY,NON-TRANSIENT NON-COMMUNITY,1,200,SCHOOL                        ,0,0.33,0.67,0,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0500091,RITE OF PASSAGE/SIERRA RIDGE,CALAVERAS,LPA35 - CALAVERAS COUNTY,COMMUNITY,13,150,SCHOOL                        ,0.25,0.33,2,0,0.65,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,4,Y,N,N,0
CA0510001,UNION PUBLIC UTILITY DISTRICT,CALAVERAS,DISTRICT 10 - STOCKTON,COMMUNITY,1735,4774,RESIDENTIAL AREA              ,0.75,1.33,1.08,0.33,0.87,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0510002,CALAVERAS PUD,CALAVERAS,DISTRICT 10 - STOCKTON,COMMUNITY,1972,6286,RESIDENTIAL AREA              ,0,1.33,1.08,0.33,0.69,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA0510003,"ANGELS, CITY OF",CALAVERAS,DISTRICT 10 - STOCKTON,COMMUNITY,2000,3836,RESIDENTIAL AREA              ,1.75,1.33,1.42,0,1.13,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0510004,CCWD - SHEEP RANCH,CALAVERAS,DISTRICT 10 - STOCKTON,COMMUNITY,47,89,RESIDENTIAL AREA              ,0,2.33,0.67,0.83,0.96,--,At-Risk,Non-Failing,At-Risk,1,Y,Y,N,0
CA0510005,CCWD - WEST POINT,CALAVERAS,DISTRICT 10 - STOCKTON,COMMUNITY,572,1043,RESIDENTIAL AREA              ,0,0.33,1.42,0.83,0.65,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA0510006,CCWD - JENNY LIND,CALAVERAS,DISTRICT 10 - STOCKTON,COMMUNITY,3884,9861,RESIDENTIAL AREA              ,0,1.33,0,0.83,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0510009,BLUE LAKE SPRINGS MUT WTR,CALAVERAS,DISTRICT 10 - STOCKTON,COMMUNITY,1729,4801,RESIDENTIAL AREA              ,0.25,0,0,0,0.06,--,Not At-Risk,Non-Failing,Not At-Risk,4,N,N,N,0
CA0510010,VALLEY SPRINGS PUD,CALAVERAS,DISTRICT 10 - STOCKTON,COMMUNITY,263,900,RESIDENTIAL AREA              ,0,1,1.08,0.67,0.69,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA0510011,SNOWSHOE SPRINGS ASSN.,CALAVERAS,DISTRICT 10 - STOCKTON,COMMUNITY,298,361,RESIDENTIAL AREA              ,0,2,0,0.33,0.58,At-Risk,At-Risk,Non-Failing,At-Risk,1,N,N,Y,0
CA0510012,CAMANCHE SOUTH SHORE-EBMUD,CALAVERAS,DISTRICT 10 - STOCKTON,COMMUNITY,448,837,RECREATION AREA               ,0,0.33,0.33,1,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0510016,CCWD - EBBETTS PASS,CALAVERAS,DISTRICT 10 - STOCKTON,COMMUNITY,6010,11545,RESIDENTIAL AREA              ,0.5,0.33,0,0.83,0.42,--,Not At-Risk,Failing,Failing,3,Y,N,N,0
